#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Mega
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,False
77,Ponyta,Fire,N/A,410,50,85,55,65,65,90,1,False,False
78,Rapidash,Fire,N/A,500,65,100,70,80,80,105,1,False,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,False
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,6,False,True
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,False
86,Seel,Water,N/A,325,65,45,55,45,70,45,1,False,False
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,False
88,Grimer,Poison,N/A,325,80,80,50,40,50,25,1,False,False
89,Muk,Poison,N/A,500,105,105,75,65,100,50,1,False,False
90,Shellder,Water,N/A,305,30,65,100,45,25,40,1,False,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,False
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,False
94,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,6,False,True
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,False
96,Drowzee,Psychic,N/A,328,60,48,45,43,90,42,1,False,False
97,Hypno,Psychic,N/A,483,85,73,70,73,115,67,1,False,False
98,Krabby,Water,N/A,325,30,105,90,25,25,50,1,False,False
99,Kingler,Water,N/A,475,55,130,115,50,50,75,1,False,False
100,Voltorb,Electric,N/A,330,40,30,50,55,55,100,1,False,False
101,Electrode,Electric,N/A,480,60,50,70,80,80,140,1,False,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,False
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,False
104,Cubone,Ground,N/A,320,50,50,95,40,50,35,1,False,False
105,Marowak,Ground,N/A,425,60,80,110,50,80,45,1,False,False
106,Hitmonlee,Fighting,N/A,455,50,120,53,35,110,87,1,False,False
107,Hitmonchan,Fighting,N/A,455,50,105,79,35,110,76,1,False,False
108,Lickitung,Normal,N/A,385,90,55,75,60,75,30,1,False,False
109,Koffing,Poison,N/A,340,40,65,95,60,45,35,1,False,False
110,Weezing,Poison,N/A,490,65,90,120,85,70,60,1,False,False
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,False
113,Chansey,Normal,N/A,450,250,5,5,35,105,50,1,False,False
114,Tangela,Grass,N/A,435,65,55,115,100,40,60,1,False,False
115,Kangaskhan,Normal,N/A,490,105,95,80,40,80,90,1,False,False
115,Mega Kangaskhan,Normal,N/A,590,105,125,100,60,100,100,6,False,True
116,Horsea,Water,N/A,295,30,40,70,70,25,60,1,False,False
117,Seadra,Water,N/A,440,55,65,95,95,45,85,1,False,False
118,Goldeen,Water,N/A,320,45,67,60,35,50,63,1,False,False
119,Seaking,Water,N/A,450,80,92,65,65,80,68,1,False,False
120,Staryu,Water,N/A,340,30,45,55,70,55,85,1,False,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,False
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,False
125,Electabuzz,Electric,N/A,490,65,83,57,95,85,105,1,False,False
126,Magmar,Fire,N/A,495,65,95,57,100,85,93,1,False,False
127,Pinsir,Bug,N/A,500,65,125,100,55,70,85,1,False,False
127,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,6,False,True
128,Tauros,Normal,N/A,490,75,100,95,40,70,110,1,False,False
129,Magikarp,Water,N/A,200,20,10,55,15,20,80,1,False,False
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,False
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,6,False,True
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,False
132,Ditto,Normal,N/A,288,48,48,48,48,48,48,1,False,False
133,Eevee,Normal,N/A,325,55,55,50,45,65,55,1,False,False
134,Vaporeon,Water,N/A,525,130,65,60,110,95,65,1,False,False
135,Jolteon,Electric,N/A,525,65,65,60,110,95,130,1,False,False
136,Flareon,Fire,N/A,525,65,130,60,95,110,65,1,False,False
137,Porygon,Normal,N/A,395,65,60,70,85,75,40,1,False,False
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,False
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,False
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,6,False,True
143,Snorlax,Normal,N/A,540,160,110,65,65,110,30,1,False,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,False
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,False
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,False
147,Dratini,Dragon,N/A,300,41,64,45,50,50,50,1,False,False
148,Dragonair,Dragon,N/A,420,61,84,65,70,70,70,1,False,False
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,False
150,Mewtwo,Psychic,N/A,680,106,110,90,154,90,130,1,True,False
150,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,6,True,True
150,Mega Mewtwo Y,Psychic,N/A,780,106,150,70,194,120,140,6,True,True
151,Mew,Psychic,N/A,600,100,100,100,100,100,100,1,False,False
152,Chikorita,Grass,N/A,318,45,49,65,49,65,45,2,False,False
153,Bayleef,Grass,N/A,405,60,62,80,63,80,60,2,False,False
154,Meganium,Grass,N/A,525,80,82,100,83,100,80,2,False,False
155,Cyndaquil,Fire,N/A,309,39,52,43,60,50,65,2,False,False
156,Quilava,Fire,N/A,405,58,64,58,80,65,80,2,False,False
157,Typhlosion,Fire,N/A,534,78,84,78,109,85,100,2,False,False
158,Totodile,Water,N/A,314,50,65,64,44,48,43,2,False,False
159,Croconaw,Water,N/A,405,65,80,80,59,63,58,2,False,False
160,Feraligatr,Water,N/A,530,85,105,100,79,83,78,2,False,False
161,Sentret,Normal,N/A,215,35,46,34,35,45,20,2,False,False
162,Furret,Normal,N/A,415,85,76,64,45,55,90,2,False,False
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,False
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,False
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,False
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,False
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,False
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,False
172,Pichu,Electric,N/A,205,20,40,15,35,35,60,2,False,False
173,Cleffa,Fairy,N/A,218,50,25,28,45,55,15,2,False,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,False
175,Togepi,Fairy,N/A,245,35,20,65,40,65,20,2,False,False
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,False
179,Mareep,Electric,N/A,280,55,40,40,65,45,35,2,False,False
180,Flaaffy,Electric,N/A,365,70,55,55,80,60,45,2,False,False
181,Ampharos,Electric,N/A,510,90,75,85,115,90,55,2,False,False
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,6,False,True
182,Bellossom,Grass,N/A,490,75,80,95,90,100,50,2,False,False
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,False
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,False
185,Sudowoodo,Rock,N/A,410,70,100,115,30,65,30,2,False,False
186,Politoed,Water,N/A,500,90,75,75,90,100,70,2,False,False
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,False
190,Aipom,Normal,N/A,360,55,70,55,40,55,85,2,False,False
191,Sunkern,Grass,N/A,180,30,30,30,30,30,30,2,False,False
192,Sunflora,Grass,N/A,425,75,75,55,105,85,30,2,False,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,False
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,False
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,False
196,Espeon,Psychic,N/A,525,65,65,60,130,95,110,2,False,False
197,Umbreon,Dark,N/A,525,95,65,110,60,130,65,2,False,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,False
200,Misdreavus,Ghost,N/A,435,60,60,60,85,85,85,2,False,False
201,Unown,Psychic,N/A,336,48,72,48,72,48,48,2,False,False
202,Wobbuffet,Psychic,N/A,405,190,33,58,33,58,33,2,False,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,False
204,Pineco,Bug,N/A,290,50,65,90,35,35,15,2,False,False
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,False
206,Dunsparce,Normal,N/A,415,100,70,70,65,65,45,2,False,False
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,False
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,6,False,True
209,Snubbull,Fairy,N/A,300,60,80,50,40,40,30,2,False,False
210,Granbull,Fairy,N/A,450,90,120,75,60,60,45,2,False,False
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,False
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,False
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,6,False,True
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,False
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,6,False,True
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,False
216,Teddiursa,Normal,N/A,330,60,80,50,50,50,40,2,False,False
217,Ursaring,Normal,N/A,500,90,130,75,75,75,55,2,False,False
218,Slugma,Fire,N/A,250,40,40,40,70,40,20,2,False,False
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,False
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,False
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,False
223,Remoraid,Water,N/A,300,35,65,35,65,35,65,2,False,False
224,Octillery,Water,N/A,480,75,105,75,105,75,45,2,False,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,False
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,False
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,False
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,False
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,6,False,True
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,False
231,Phanpy,Ground,N/A,330,90,60,60,40,40,40,2,False,False
232,Donphan,Ground,N/A,500,90,120,120,60,60,50,2,False,False
233,Porygon2,Normal,N/A,515,85,80,90,105,95,60,2,False,False
234,Stantler,Normal,N/A,465,73,95,62,85,65,85,2,False,False
235,Smeargle,Normal,N/A,250,55,20,35,20,45,75,2,False,False
236,Tyrogue,Fighting,N/A,210,35,35,35,35,35,35,2,False,False
237,Hitmontop,Fighting,N/A,455,50,95,95,35,110,70,2,False,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,False
239,Elekid,Electric,N/A,360,45,63,37,65,55,95,2,False,False
240,Magby,Fire,N/A,365,45,75,37,70,55,83,2,False,False
241,Miltank,Normal,N/A,490,95,80,105,40,70,100,2,False,False
242,Blissey,Normal,N/A,540,255,10,10,75,135,55,2,False,False
243,Raikou,Electric,N/A,580,90,85,75,115,100,115,2,True,False
244,Entei,Fire,N/A,580,115,115,85,90,75,100,2,True,False
245,Suicune,Water,N/A,580,100,75,115,90,115,85,2,True,False
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,False
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,False
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,6,False,True
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,False
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,False
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,False
252,Treecko,Grass,N/A,310,40,45,35,65,55,70,3,False,False
253,Grovyle,Grass,N/A,405,50,65,45,85,65,95,3,False,False
254,Sceptile,Grass,N/A,530,70,85,65,105,85,120,3,False,False
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,6,False,True
255,Torchic,Fire,N/A,310,45,60,40,70,50,45,3,False,False
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,False
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,False
257,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,6,False,True
258,Mudkip,Water,N/A,310,50,70,50,50,50,40,3,False,False
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,False
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,6,False,True
261,Poochyena,Dark,N/A,220,35,55,35,30,30,35,3,False,False
262,Mightyena,Dark,N/A,420,70,90,70,60,60,70,3,False,False
263,Zigzagoon,Normal,N/A,240,38,30,41,30,41,60,3,False,False
264,Linoone,Normal,N/A,420,78,70,61,50,61,100,3,False,False
265,Wurmple,Bug,N/A,195,45,45,35,20,30,20,3,False,False
266,Silcoon,Bug,N/A,205,50,35,55,25,25,15,3,False,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,False
268,Cascoon,Bug,N/A,205,50,35,55,25,25,15,3,False,False
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,False
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,False
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,False
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,False
273,Seedot,Grass,N/A,220,40,40,50,30,30,30,3,False,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,False
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,False
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,False
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,False
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,False
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,False
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,False
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,False
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,6,False,True
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,False
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,False
285,Shroomish,Grass,N/A,295,60,40,60,40,60,35,3,False,False
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,False
287,Slakoth,Normal,N/A,280,60,60,60,35,35,30,3,False,False
288,Vigoroth,Normal,N/A,440,80,80,80,55,55,90,3,False,False
289,Slaking,Normal,N/A,670,150,160,100,95,65,100,3,False,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,False
293,Whismur,Normal,N/A,240,64,51,23,51,23,28,3,False,False
294,Loudred,Normal,N/A,360,84,71,43,71,43,48,3,False,False
295,Exploud,Normal,N/A,490,104,91,63,91,73,68,3,False,False
296,Makuhita,Fighting,N/A,237,72,60,30,20,30,25,3,False,False
297,Hariyama,Fighting,N/A,474,144,120,60,40,60,50,3,False,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,False
299,Nosepass,Rock,N/A,375,30,45,135,45,90,30,3,False,False
300,Skitty,Normal,N/A,260,50,45,45,35,35,50,3,False,False
301,Delcatty,Normal,N/A,380,70,65,65,55,55,70,3,False,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,False
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,6,False,True
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,False
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,6,False,True
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,False
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,False
306,Mega Aggron,Steel,N/A,630,70,140,230,60,80,50,6,False,True
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,False
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,False
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,6,False,True
309,Electrike,Electric,N/A,295,40,45,40,65,40,65,3,False,False
310,Manectric,Electric,N/A,475,70,75,60,105,60,105,3,False,False
310,Mega Manectric,Electric,N/A,575,70,75,80,135,80,135,6,False,True
311,Plusle,Electric,N/A,405,60,50,40,85,75,95,3,False,False
312,Minun,Electric,N/A,405,60,40,50,75,85,95,3,False,False
313,Volbeat,Bug,N/A,400,65,73,55,47,75,85,3,False,False
314,Illumise,Bug,N/A,400,65,47,55,73,75,85,3,False,False
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,False
316,Gulpin,Poison,N/A,302,70,43,53,43,53,40,3,False,False
317,Swalot,Poison,N/A,467,100,73,83,73,83,55,3,False,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,False
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,6,False,True
320,Wailmer,Water,N/A,400,130,70,35,70,35,60,3,False,False
321,Wailord,Water,N/A,500,170,90,45,90,45,60,3,False,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,False
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,False
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,6,False,True
324,Torkoal,Fire,N/A,470,70,85,140,85,70,20,3,False,False
325,Spoink,Psychic,N/A,330,60,25,35,70,80,60,3,False,False
326,Grumpig,Psychic,N/A,470,80,45,65,90,110,80,3,False,False
327,Spinda,Normal,N/A,360,60,60,60,60,60,60,3,False,False
328,Trapinch,Ground,N/A,290,45,100,45,45,45,10,3,False,False
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,False
331,Cacnea,Grass,N/A,335,50,85,40,85,40,35,3,False,False
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,False
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,False
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,6,False,True
335,Zangoose,Normal,N/A,458,73,115,60,60,60,90,3,False,False
336,Seviper,Poison,N/A,458,73,100,60,100,60,65,3,False,False
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,False
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,False
341,Corphish,Water,N/A,308,43,80,65,50,35,35,3,False,False
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,False
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,False
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,False
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,False
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,False
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,False
349,Feebas,Water,N/A,200,20,15,20,10,55,80,3,False,False
350,Milotic,Water,N/A,540,95,60,79,100,125,81,3,False,False
351,Castform,Normal,N/A,420,70,70,70,70,70,70,3,False,False
352,Kecleon,Normal,N/A,440,60,90,70,60,120,40,3,False,False
